state,percent,avglocal,maxlocal,total (percent + avglocal)
AL,4.00,5.46,11.00,9.46
AK,0.00,46,1.82,7.85,1.82
AZ,5.60,28,2.92,5.30,8.52
AR,6.50,9,2.96,6.125,9.46
CA,7.25,1,1.74,5.25,8.99
CO,2.90,45,4.99,9.10,7.89
CT,6.35,12,0.00,0.00,6.35
DE,0.00,46,0.00,0.00,0.00
FL,6.00,17,0.98,2.00,6.98
GA,4.00,40,3.49,5.00,7.49
HA,4.00,40,0.50,0.50,4.50
ID,6.00,17,0.03,3.00,6.03
IL,6.25,13,2.71,4.75,8.96
IN,7.00,2,0.00,0.00,7.00
IA,6.00,17,0.94,2.00,6.94
KS,6.50,9,2.19,4.25,8.69
KY,6.00,17,0.00,0.00,6.00
LA,5.00,32,5.11,7.00,10.11
ME,5.50,29,0.00,0.00,5.50
MD,6.00,17,0.00,0.00,6.00
MA,6.25,13,0.00,0.00,6.25
MI,6.00,17,0.00,0.00,6.00
MN,6.875,6,1.26,3.00,8.14
MS,7.00,2,0.06,1.00,7.06
MO,4.225,38,4.22,5.763,8.44
MT,0.00,46,0.00,0.00,0.00
NE,5.50,29,1.48,2.00,6.98
NV,6.85,7,1.39,1.525,8.24
NH,0.00,46,0.00,0.00,0.00
NJ,6.625,8,-0.02,3.313,6.60
NM,4.875,35,2.79,4.5625,7.67
NY,4.00,40,4.54,4.875,8.54
NC,4.75,36,2.25,2.75,7.00
ND,5.00,32,2.09,3.75,7.09
OH,5.75,27,1.54,2.25,7.29
OK,4.50,37,4.56,7.00,9.06
OR,0.00,46,0.00,0.00,0.00
PA,6.00,17,0.34,2.00,6.34
RI,7.00,2,0.00,0.00,7.00
SC,6.00,17,1.49,3.00,7.49
SD,4.20,39,1.91,4.50,6.11
TN,7.00,2,2.61,2.75,9.61
TX,6.25,13,1.95,2.00,8.20
UT,6.10,16,1.32,4.70,7.42
VT,6.00,17,0.39,1.00,6.39
VA,5.30,31,0.47,2.70,5.77
WA,6.50,9,3.01,4.10,9.51
WV,6.00,17,0.59,1.00,6.59
WI,5.00,32,0.72,2.90,5.72
WY,4.00,40,1.56,3.00,5.56
DC,6.00,,0.00,0.00,6.00
